B,|D|,family,NX,NY,K,suffixMult,Y,Q,predLookups,actualLookups,predScans,actualScans,wallSeconds,certposW,timestamp
50,47,full-modulus,1,6,4,1,27907200,6250000,3.90701e+07,78140160,1.74454e+08,275339963,34.915207,20,2026-07-23T21:31:13Z
51,47,full-modulus,2,6,4,1,27907200,6765201,8.37216e+07,167443200,3.45361e+08,666623673,45.188087,20,2026-07-23T21:31:58Z
52,47,peeled,2,4,3,215,57120,140608,1.48512e+06,643056960,603309,261219558,18.259486,20,2026-07-23T21:32:17Z
56,48,peeled,2,5,3,3,1395360,175616,1.39536e+07,125582400,1.10869e+08,997815996,30.255082,21,2026-07-23T21:42:04Z
58,55,peeled,0,4,2,72593,43680,3364,2160,329253120,28046.6,4275264069,1921.093977,21,2026-07-23T22:14:05Z
60,47,peeled,1,5,3,7,1028160,216000,367200,11016000,1.74787e+06,52431008,12.078906,21,2026-07-23T22:14:17Z
50,47,full-modulus,1,6,4,1,27907200,6250000,3.90701e+07,78140160,1.74454e+08,275339963,35.480702,20,2026-07-23T22:32:20Z
51,47,full-modulus,2,6,4,1,27907200,6765201,8.37216e+07,167443200,3.45361e+08,666623673,44.599006,20,2026-07-23T22:33:05Z
52,47,peeled,1,5,3,215,742560,140608,114240,49465920,603309,261222515,113.032629,20,2026-07-23T22:34:58Z
56,48,peeled,2,5,3,3,1395360,175616,1.39536e+07,125582400,1.10869e+08,997815996,30.374887,21,2026-07-23T22:44:47Z
58,55,peeled,0,4,3,72593,43680,195112,30240,4609543680,6769.87,1031983496,2012.796711,21,2026-07-23T23:18:20Z
60,47,peeled,0,6,4,7,13366080,12960000,367200,11016000,378706,11356710,228.687685,21,2026-07-23T23:22:09Z
50,47,full-modulus,1,6,4,1,27907200,6250000,3.90701e+07,78140160,1.74454e+08,275339963,34.017197,20,2026-07-23T23:43:38Z
51,47,full-modulus,2,6,4,1,27907200,6765201,8.37216e+07,167443200,3.45361e+08,666623673,45.546065,20,2026-07-23T23:44:24Z
52,47,peeled,2,4,3,215,57120,140608,1.48512e+06,643056960,603309,261219558,17.859089,20,2026-07-23T23:44:43Z
56,48,peeled,2,5,3,3,1395360,175616,1.39536e+07,125582400,1.10869e+08,997815996,30.535683,21,2026-07-23T23:54:29Z
58,55,full-modulus,3,5,3,1,2441880,195112,6.25121e+08,1250242560,7.82356e+09,15631369939,235.568296,21,2026-07-23T23:58:25Z
60,47,peeled,1,5,3,7,1028160,216000,367200,11016000,1.74787e+06,52431008,11.706376,21,2026-07-23T23:58:37Z
